DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4
01M292,Orchard Collegiate Academy,All Students,2017-18,171,72,40,30,29,81,47.4%,90,52.6%,19,11.1%,43,25.1%,97,56.7%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70,10,14.3%,35,50.0%,19,27.1%,6,8.6%,25,35.7%,65,36,55.4%,26,40.0%,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,English Language Learners,2017-18,23,8,s,9,s,12,52.2%,11,47.8%,7,30.4%,s,s,15,65.2%,s,s,s,s,16,69.6%,7,30.4%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,8,s,s,s,s,s,s,s,s,s,s,8,6,75.0%,s,s,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,Enrolled over the Counter,2017-18,s,s,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M292,Orchard Collegiate Academy,Receive free or reduced price lunch,2017-18,156,62,37,29,28,74,47.4%,82,52.6%,19,12.2%,39,25.0%,89,57.1%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,60,8,13.3%,28,46.7%,18,30.0%,6,10.0%,24,40.0%,55,29,52.7%,23,41.8%,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,Students in temporary housing,2017-18,23,10,s,s,s,13,56.5%,10,43.5%,s,s,6,26.1%,13,56.5%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,10,s,s,8,80.0%,s,s,s,s,s,s,8,s,s,s,s,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,Students with Disabilities,2017-18,42,19,8,7,8,17,40.5%,25,59.5%,s,s,9,21.4%,27,64.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,18,s,s,8,44.4%,s,s,s,s,s,s,16,10,62.5%,6,37.5%,s,s,s,s,s,s
01M448,University Neighborhood High School,All Students,2017-18,465,160,130,94,81,198,42.6%,267,57.4%,141,30.3%,100,21.5%,206,44.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,137,23,16.8%,57,41.6%,48,35.0%,9,6.6%,57,41.6%,115,46,40.0%,40,34.8%,19,16.5%,10,8.7%,29,25.2%
01M448,University Neighborhood High School,English Language Learners,2017-18,46,21,15,s,s,19,41.3%,27,58.7%,35,76.1%,s,s,10,21.7%,s,s,s,s,10,21.7%,34,73.9%,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,16,11,68.8%,s,s,s,s,s,s,s,s,17,11,64.7%,s,s,s,s,s,s,s,s
01M448,University Neighborhood High School,Enrolled over the Counter,2017-18,14,s,8,s,s,s,s,s,s,9,64.3%,s,s,s,s,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M448,University Neighborhood High School,Receive free or reduced price lunch,2017-18,406,143,114,79,70,173,42.6%,233,57.4%,130,32.0%,87,21.4%,180,44.3%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,122,23,18.9%,51,41.8%,42,34.4%,6,4.9%,48,39.3%,104,43,41.3%,34,32.7%,17,16.3%,10,9.6%,27,26.0%
01M448,University Neighborhood High School,Students in temporary housing,2017-18,69,30,20,8,11,30,43.5%,39,56.5%,35,50.7%,16,23.2%,17,24.6%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27,9,33.3%,11,40.7%,s,s,s,s,s,s,25,13,52.0%,7,28.0%,s,s,s,s,s,s
01M448,University Neighborhood High School,Students with Disabilities,2017-18,79,42,16,14,7,18,22.8%,61,77.2%,24,30.4%,19,24.1%,34,43.0%,s,s,s,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32,16,50.0%,14,43.8%,s,s,s,s,s,s,29,25,86.2%,s,s,s,s,s,s,s,s
01M450,East Side Community School,All Students,2017-18,385,95,100,93,97,181,47.0%,204,53.0%,48,12.5%,74,19.2%,210,54.5%,12,3.1%,41,10.6%,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,69,s,s,30,43.5%,27,39.1%,s,s,s,s,68,s,s,34,50.0%,16,23.5%,s,s,s,s
