DBN,School Name
01M292,ORCHARD COLLEGIATE ACADEMY
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
01M450,EAST SIDE COMMUNITY SCHOOL
02M294,ESSEX STREET ACADEMY
01M458,FORSYTH SATELLITE ACADEMY
01M509,MARTA VALLE HIGH SCHOOL
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH"
01M650,CASCADES HIGH SCHOOL
01M696,BARD HIGH SCHOOL EARLY COLLEGE
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING
02M282,URBAN ASSEMBLY MAKER ACADEMY
02M288,FOOD AND FINANCE HIGH SCHOOL
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT
02M298,PACE HIGH SCHOOL
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,"
02M303,"FACING HISTORY SCHOOL, THE"
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE"
02M308,LOWER MANHATTAN ARTS ACADEMY
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION"
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,"
02M374,GRAMERCY ARTS HIGH SCHOOL
02M376,NYC ISCHOOL
02M392,MANHATTAN BUSINESS ACADEMY
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI
02M393,BUSINESS OF SPORTS SCHOOL
02M394,EMMA LAZARUS HIGH SCHOOL
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
02M419,LANDMARK HIGH SCHOOL
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL
02M414,N.Y.C. MUSEUM SCHOOL
02M416,ELEANOR ROOSEVELT HIGH SCHOOL
02M418,MILLENNIUM HIGH SCHOOL
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI
02M422,QUEST TO LEARN
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL
09X252,MOTT HALL BRONX HIGH SCHOOL
02M432,MURRAY HILL ACADEMY
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE
04M409,COALITION SCHOOL FOR SOCIAL CHANGE
02M439,MANHATTAN VILLAGE ACADEMY
02M449,VANGUARD HIGH SCHOOL
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL
02M475,STUYVESANT HIGH SCHOOL
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES
10X440,DEWITT CLINTON HIGH SCHOOL
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY
