DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,All Students,2017-18,483,93,134,130,126,209,43.3%,274,56.7%,13,,391,0.81,43,0.08900000000000001,27,5.6%,9,1.9%,,,,,,,,,,,,,,,,,,,,,60,,,31,51.7%,16,26.7%,,,,,53,36,67.9%,14,26.4%,,,,,,,0.899
15K429,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,All Students,2017-18,206,103,37,41,25,89,43.2%,117,56.8%,,,119,0.578,66,0.32,,,9,4.4%,,,,,,,,,,,,,,,,,,,,,84,,,38,45.2%,26,31.0%,,,,,74,30,40.5%,35,47.3%,,,,,,,0.8979999999999999
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,All Students,2017-18,867,264,225,199,179,650,75.0%,217,25.0%,26,,590,0.6809999999999999,187,0.21600000000000003,37,4.3%,27,3.1%,,,,,,,,,,,,,,,,,,,,,222,16,7.2%,73,32.9%,99,44.6%,34,15.3%,133,59.9%,188,56,29.8%,98,52.1%,,,,,,,0.897
02M543,NEW DESIGN HIGH SCHOOL,All Students,2017-18,427,135,125,81,86,255,59.7%,172,40.3%,28,,157,0.368,226,0.529,10,2.3%,6,1.4%,,,,,,,,,,,,,,,,,,,,,104,26,25.0%,49,47.1%,,,,,,,92,58,63.0%,24,26.1%,,,,,,,0.897
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,All Students,2017-18,569,212,172,83,102,74,13.0%,495,87.0%,39,,204,0.359,306,0.5379999999999999,8,1.4%,12,2.1%,,,,,,,,,,,,,,,,,,,,,139,47,33.8%,48,34.5%,37,26.6%,7,5.0%,44,31.7%,130,68,52.3%,45,34.6%,,,,,,,0.8969999999999999
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,All Students,2017-18,298,100,73,73,52,,,,,,,256,0.8590000000000001,11,0.037000000000000005,18,6.0%,,,,,,,,,,,,,,,,,,,,,,,86,28,32.6%,39,45.3%,,,,,,,41,27,65.9%,12,29.3%,,,,,,,0.8960000000000001
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,All Students,2017-18,463,132,129,102,100,255,55.1%,208,44.9%,33,,106,0.22899999999999998,309,0.667,,,,,,,,,,,,,,,,,,,,,,,,,114,20,17.5%,34,29.8%,48,42.1%,12,10.5%,60,52.6%,104,34,32.7%,45,43.3%,,,,,,,0.896
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",All Students,2017-18,232,65,75,40,52,,,,,6,,136,0.586,72,0.31,12,5.2%,6,2.6%,,,,,,,,,,,,,,,,,,,,,54,,,21,38.9%,21,38.9%,,,,,50,34,68.0%,12,24.0%,,,,,,,0.8959999999999999
08X452,GOTHAM COLLABORATIVE HIGH SCHOOL,All Students,2017-18,553,86,152,150,165,237,42.9%,316,57.1%,34,,170,0.307,325,0.588,12,2.2%,12,2.2%,,,,,,,,,,,,,,,,,,,,,63,22,34.9%,29,46.0%,,,,,,,64,46,71.9%,16,25.0%,,,,,,,0.895
02M288,FOOD AND FINANCE HIGH SCHOOL,All Students,2017-18,378,125,93,82,78,211,55.8%,167,44.2%,17,,150,0.397,188,0.49700000000000005,13,3.4%,10,2.6%,,,,,,,,,,,,,,,,,,,,,101,17,16.8%,41,40.6%,37,36.6%,6,5.9%,43,42.6%,88,40,45.5%,38,43.2%,,,,,,,0.8940000000000001
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND",All Students,2017-18,443,109,133,118,83,150,33.9%,293,66.1%,29,,171,0.386,225,0.508,9,2.0%,9,2.0%,,,,,,,,,,,,,,,,,,,,,92,26,28.3%,42,45.7%,,,,,,,68,51,75.0%,17,25.0%,,,,,,,0.894
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,All Students,2017-18,566,162,145,130,129,127,22.4%,438,77.4%,17,,161,0.284,345,0.61,8,1.4%,35,6.2%,,,,,,,,,,,,,,,,,,,,,154,,,76,49.4%,46,29.9%,,,,,139,56,40.3%,63,45.3%,,,,,,,0.8939999999999999
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,All Students,2017-18,403,119,105,97,82,68,16.9%,335,83.1%,21,,167,0.414,193,0.479,13,3.2%,9,2.2%,,,,,,,,,,,,,,,,,,,,,103,27,26.2%,38,36.9%,32,31.1%,6,5.8%,38,36.9%,95,30,31.6%,49,51.6%,,,,,,,0.893
18K642,URBAN ACTION ACADEMY,All Students,2017-18,278,44,70,79,85,107,38.5%,171,61.5%,,,215,0.773,33,0.11900000000000001,,,22,7.9%,,,,,,,,,,,,,,,,,,,,,25,8,32.0%,11,44.0%,,,,,,,25,18,72.0%,6,24.0%,,,,,,,0.892
02M586,HARVEY MILK HIGH SCHOOL,All Students,2017-18,64,,,19,25,36,56.3%,28,43.8%,,,12,0.188,45,0.703,,,6,9.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891
