DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,All Students,2017-18,124,,63,22,39,56,45.2%,68,54.8%,,,105,0.847,18,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,All Students,2017-18,383,94,108,95,86,160,41.8%,223,58.2%,,,18,0.047,361,0.943,,,,,,,,,,,,,,,,,,,,,,,,,87,,,36,41.4%,35,40.2%,,,,,57,30,52.6%,24,42.1%,,,,,,,0.99
07X381,BRONX HAVEN HIGH SCHOOL,All Students,2017-18,192,30,77,52,33,93,48.4%,99,51.6%,,,69,0.359,121,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989
07X547,NEW EXPLORERS HIGH SCHOOL,All Students,2017-18,314,101,104,59,50,182,58.0%,132,42.0%,,,91,0.29,219,0.6970000000000001,,,,,,,,,,,,,,,,,,,,,,,,,56,19,33.9%,27,48.2%,,,,,,,52,40,76.9%,11,21.2%,,,,,,,0.9870000000000001
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,All Students,2017-18,436,112,112,110,102,219,50.2%,217,49.8%,,,102,0.23399999999999999,328,0.752,,,,,,,,,,,,,,,,,,,,,,,,,107,15,14.0%,44,41.1%,28,26.2%,20,18.7%,48,44.9%,106,28,26.4%,32,30.2%,29,27.4%,17,16.0%,46,43.4%,0.986
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,All Students,2017-18,356,92,86,80,98,166,46.6%,190,53.4%,,,128,0.36,223,0.626,,,,,,,,,,,,,,,,,,,,,,,,,90,26,28.9%,44,48.9%,,,,,,,49,38,77.6%,10,20.4%,,,,,,,0.986
09X329,DREAMYARD PREPARATORY SCHOOL,All Students,2017-18,266,94,63,62,47,154,57.9%,112,42.1%,,,74,0.278,188,0.7070000000000001,,,,,,,,,,,,,,,,,,,,,,,,,56,15,26.8%,32,57.1%,,,,,,,56,33,58.9%,21,37.5%,,,,,,,0.9850000000000001
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,All Students,2017-18,395,96,88,95,116,196,49.6%,199,50.4%,,,74,0.187,315,0.797,,,,,,,,,,,,,,,,,,,,,,,,,92,12,13.0%,31,33.7%,36,39.1%,13,14.1%,49,53.3%,91,12,13.2%,32,35.2%,31,34.1%,16,17.6%,47,51.6%,0.984
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,All Students,2017-18,363,126,94,91,52,200,55.1%,163,44.9%,,,69,0.19,288,0.7929999999999999,,,,,,,,,,,,,,,,,,,,,,,,,91,,,43,47.3%,29,31.9%,,,,,92,48,52.2%,40,43.5%,,,,,,,0.9829999999999999
09X231,EAGLE ACADEMY FOR YOUNG MEN,All Students,2017-18,309,79,104,65,61,,,,,,,169,0.547,134,0.434,,,,,,,,,,,,,,,,,,,,,,,,,63,12,19.0%,38,60.3%,,,,,,,15,8,53.3%,7,46.7%,,,,,,,0.9810000000000001
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,All Students,2017-18,264,77,58,58,71,207,78.4%,57,21.6%,,,84,0.318,175,0.6629999999999999,,,,,,,,,,,,,,,,,,,,,,,,,38,13,34.2%,22,57.9%,,,,,,,38,26,68.4%,9,23.7%,,,,,,,0.9809999999999999
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,All Students,2017-18,263,26,80,73,84,126,47.9%,137,52.1%,,,81,0.308,177,0.6729999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9809999999999999
06M462,THE COLLEGE ACADEMY,All Students,2017-18,460,106,105,123,126,181,39.3%,279,60.7%,,,43,0.09300000000000001,408,0.887,,,6,1.3%,,,,,,,,,,,,,,,,,,,,,76,37,48.7%,22,28.9%,,,,,,,78,55,70.5%,17,21.8%,,,,,,,0.98
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,All Students,2017-18,330,115,80,77,58,166,50.3%,164,49.7%,,,90,0.273,233,0.706,,,,,,,,,,,,,,,,,,,,,,,,,64,25,39.1%,29,45.3%,,,,,,,67,52,77.6%,12,17.9%,,,,,,,0.979
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,All Students,2017-18,473,123,120,90,140,205,43.3%,268,56.7%,,,137,0.29,325,0.687,,,,,,,,,,,,,,,,,,,,,,,,,90,35,38.9%,45,50.0%,,,,,,,85,67,78.8%,17,20.0%,,,,,,,0.9770000000000001
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,All Students,2017-18,132,30,26,33,43,62,47.0%,70,53.0%,,,105,0.795,24,0.182,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,8,6,75.0%,,,,,,,,,0.9770000000000001
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,All Students,2017-18,168,39,67,28,34,95,56.5%,73,43.5%,,,133,0.792,31,0.185,,,,,,,,,,,,,,,,,,,,,,,,,26,7,26.9%,15,57.7%,,,,,,,25,19,76.0%,6,24.0%,,,,,,,0.9770000000000001
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,All Students,2017-18,217,45,74,57,41,100,46.1%,117,53.9%,,,188,0.866,24,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977
09X263,VALIDUS PREPARATORY ACADEMY,All Students,2017-18,372,117,107,77,71,191,51.3%,181,48.7%,,,101,0.272,262,0.7040000000000001,,,6,1.6%,,,,,,,,,,,,,,,,,,,,,75,34,45.3%,32,42.7%,,,,,,,71,42,59.2%,25,35.2%,,,,,,,0.9760000000000001
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,All Students,2017-18,205,41,73,35,56,110,53.7%,95,46.3%,,,140,0.6829999999999999,60,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,All Students,2017-18,201,33,51,28,89,89,44.3%,112,55.7%,,,21,0.10400000000000001,175,0.871,,,,,,,,,,,,,,,,,,,,,,,,,15,7,46.7%,6,40.0%,,,,,,,14,8,57.1%,,,,,,,,,0.975
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,All Students,2017-18,544,158,151,105,130,253,46.5%,291,53.5%,,,75,0.138,455,0.836,,,9,1.7%,,,,,,,,,,,,,,,,,,,,,95,40,42.1%,31,32.6%,,,,,,,87,53,60.9%,30,34.5%,,,,,,,0.974
