,DBN,Post-Secondary Enrollment (18mo),College Persistance,College Readiness Index
0,01M292,43%,27%,62%
1,01M448,71%,56%,71%
2,01M450,80%,71%,90%
3,02M294,80%,62%,62%
4,01M458,80%,62%,62%
5,01M509,59%,44%,30%
6,01M515,59%,44%,30%
7,01M539,89%,81%,93%
8,01M650,89%,81%,93%
9,01M696,99%,86%,98%
10,02M047,76%,45%,49%
11,02M288,79%,51%,44%
12,02M296,70%,45%,39%
13,02M298,81%,57%,66%
14,02M300,60%,33%,43%
15,02M303,59%,35%,39%
16,02M305,72%,49%,41%
17,02M308,76%,53%,42%
18,02M313,76%,53%,42%
19,02M316,61%,46%,27%
20,02M374,65%,49%,48%
21,02M376,94%,85%,86%
22,02M392,80%,61%,34%
23,18K617,61%,47%,34%
24,02M393,69%,50%,42%
25,02M394,69%,50%,42%
26,02M427,52%,36%,47%
27,02M399,81%,58%,59%
28,02M419,50%,25%,53%
29,02M400,77%,60%,62%
30,02M407,83%,72%,93%
31,02M408,84%,63%,72%
32,02M411,94%,88%,93%
33,02M412,93%,84%,98%
34,02M413,87%,71%,93%
35,02M414,95%,87%,88%
36,02M416,90%,82%,97%
37,02M418,95%,88%,95%
38,02M420,80%,65%,78%
39,02M422,67%,46%,65%
40,02M425,56%,38%,36%
41,09X252,66%,43%,41%
42,02M432,63%,48%,37%
43,02M437,64%,46%,31%
44,02M438,67%,58%,42%
45,04M409,33%,15%,28%
46,02M439,98%,85%,98%
47,02M449,56%,42%,54%
48,02M459,71%,50%,42%
49,02M475,100%,96%,99%
50,02M489,85%,76%,77%
51,02M500,69%,54%,39%
52,10X440,46%,32%,42%
53,02M507,76%,56%,66%
54,02M519,84%,67%,87%
55,17K382,57%,41%,45%
56,02M520,51%,34%,35%
57,02M529,54%,38%,37%
58,02M531,95%,74%,60%
59,09X231,74%,44%,31%
60,02M533,92%,71%,54%
61,02M534,84%,68%,72%
62,02M542,83%,67%,75%
63,02M543,70%,49%,63%
64,02M544,70%,49%,63%
65,02M545,91%,83%,99%
66,02M546,96%,74%,67%
67,02M550,96%,74%,67%
68,02M551,71%,48%,52%
69,02M560,71%,48%,52%
70,02M565,71%,48%,52%
71,02M570,71%,48%,52%
72,02M575,71%,48%,52%
73,12X682,52%,30%,40%
74,02M580,63%,49%,53%
75,02M586,63%,49%,53%
76,02M600,88%,73%,68%
77,02M605,71%,67%,70%
78,02M615,68%,52%,60%
79,09X297,52%,37%,43%
80,02M630,78%,65%,63%
81,14K614,100%,95%,66%
82,02M655,57%,43%,36%
